n,dist,p
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
100,0.30000000000000004,0.01
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
1000,0.30000000000000004,0.001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
10000,0.30000000000000004,0.0001
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
100000,0.30000000000000004,1e-05
